Rank 2 start loading data...
Rank 3 start loading data...
Rank 0 start loading data...Rank 1 start loading data...

UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
0 start loading model...
2start training...
3start training...
1start training...
0start training...




TRAIN: | epoch   0 |   322/ 7183 batches | 
TRAIN: | epoch   0 |   323/ 7183 batches | 
TRAIN: | epoch   0 |   324/ 7183 batches | 
TRAIN: | epoch   0 |   325/ 7183 batches | 
TRAIN: | epoch   0 |   326/ 7183 batches | 
TRAIN: | epoch   0 |   327/ 7183 batches | 
TRAIN: | epoch   0 |   328/ 7183 batches | 
TRAIN: | epoch   0 |   329/ 7183 batches | 
TRAIN: | epoch   0 |   330/ 7183 batches | 
TRAIN: | epoch   0 |   331/ 7183 batches | 
TRAIN: | epoch   0 |   332/ 7183 batches | 
TRAIN: | epoch   0 |   333/ 7183 batches | 
TRAIN: | epoch   0 |   334/ 7183 batches | 
TRAIN: | epoch   0 |   335/ 7183 batches | 
TRAIN: | epoch   0 |   336/ 7183 batches | 
TRAIN: | epoch   0 |   337/ 7183 batches | 
TRAIN: | epoch   0 |   338/ 7183 batches | 
TRAIN: | epoch   0 |   339/ 7183 batches | 
TRAIN: | epoch   0 |   340/ 7183 batches | 
TRAIN: | epoch   0 |   341/ 7183 batches | 
TRAIN: | epoch   0 |   342/ 7183 batches | 
TRAIN: | epoch   0 |   343/ 7183 batches | 
TRAIN: | epoch   0 |   344/ 7183 batches | 
TRAIN: | epoch   0 |   345/ 7183 batches | 
TRAIN: | epoch   0 |   346/ 7183 batches | 
TRAIN: | epoch   0 |   347/ 7183 batches | 
TRAIN: | epoch   0 |   348/ 7183 batches | 
TRAIN: | epoch   0 |   349/ 7183 batches | 
TRAIN: | epoch   0 |   350/ 7183 batches | 
TRAIN: | epoch   0 |   351/ 7183 batches | 
TRAIN: | epoch   0 |   352/ 7183 batches | 
TRAIN: | epoch   0 |   353/ 7183 batches | 
TRAIN: | epoch   0 |   354/ 7183 batches | 
TRAIN: | epoch   0 |   355/ 7183 batches | 
TRAIN: | epoch   0 |   356/ 7183 batches | 
TRAIN: | epoch   0 |   357/ 7183 batches | 
TRAIN: | epoch   0 |   358/ 7183 batches | 
TRAIN: | epoch   0 |   359/ 7183 batches | 
TRAIN: | epoch   0 |   360/ 7183 batches | 
TRAIN: | epoch   0 |   361/ 7183 batches | 
TRAIN: | epoch   0 |   362/ 7183 batches | 
TRAIN: | epoch   0 |   363/ 7183 batches | 
TRAIN: | epoch   0 |   364/ 7183 batches | 
TRAIN: | epoch   0 |   365/ 7183 batches | 
TRAIN: | epoch   0 |   366/ 7183 batches | 
TRAIN: | epoch   0 |   367/ 7183 batches | 
TRAIN: | epoch   0 |   368/ 7183 batches | 
TRAIN: | epoch   0 |   369/ 7183 batches | 
TRAIN: | epoch   0 |   370/ 7183 batches | 
TRAIN: | epoch   0 |   371/ 7183 batches | 
TRAIN: | epoch   0 |   372/ 7183 batches | 
TRAIN: | epoch   0 |   373/ 7183 batches | 
TRAIN: | epoch   0 |   374/ 7183 batches | 
TRAIN: | epoch   0 |   375/ 7183 batches | 
TRAIN: | epoch   0 |   376/ 7183 batches | 
TRAIN: | epoch   0 |   377/ 7183 batches | 
TRAIN: | epoch   0 |   378/ 7183 batches | 
TRAIN: | epoch   0 |   379/ 7183 batches | 
TRAIN: | epoch   0 |   380/ 7183 batches | 
TRAIN: | epoch   0 |   381/ 7183 batches | 
TRAIN: | epoch   0 |   382/ 7183 batches | 
TRAIN: | epoch   0 |   383/ 7183 batches | 
TRAIN: | epoch   0 |   384/ 7183 batches | 
| epoch   0 |   384/ 7183 batches | | ms/batch 15930.71 | 
TRAIN: | epoch   0 |   385/ 7183 batches | 
TRAIN: | epoch   0 |   386/ 7183 batches | 
TRAIN: | epoch   0 |   387/ 7183 batches | 
TRAIN: | epoch   0 |   388/ 7183 batches | 
TRAIN: | epoch   0 |   389/ 7183 batches | 
TRAIN: | epoch   0 |   390/ 7183 batches | 
TRAIN: | epoch   0 |   391/ 7183 batches | 
TRAIN: | epoch   0 |   392/ 7183 batches | 
TRAIN: | epoch   0 |   393/ 7183 batches | 
TRAIN: | epoch   0 |   394/ 7183 batches | 
TRAIN: | epoch   0 |   395/ 7183 batches | 
TRAIN: | epoch   0 |   396/ 7183 batches | 
TRAIN: | epoch   0 |   397/ 7183 batches | 
TRAIN: | epoch   0 |   398/ 7183 batches | 
TRAIN: | epoch   0 |   399/ 7183 batches | 
TRAIN: | epoch   0 |   400/ 7183 batches | 
TRAIN: | epoch   0 |   401/ 7183 batches | 
TRAIN: | epoch   0 |   402/ 7183 batches | 
TRAIN: | epoch   0 |   403/ 7183 batches | 
TRAIN: | epoch   0 |   404/ 7183 batches | 
TRAIN: | epoch   0 |   405/ 7183 batches | 
TRAIN: | epoch   0 |   406/ 7183 batches | 
TRAIN: | epoch   0 |   407/ 7183 batches | 
TRAIN: | epoch   0 |   408/ 7183 batches | 
TRAIN: | epoch   0 |   409/ 7183 batches | 
TRAIN: | epoch   0 |   410/ 7183 batches | 
TRAIN: | epoch   0 |   411/ 7183 batches | 
TRAIN: | epoch   0 |   412/ 7183 batches | 
TRAIN: | epoch   0 |   413/ 7183 batches | 
TRAIN: | epoch   0 |   414/ 7183 batches | 
TRAIN: | epoch   0 |   415/ 7183 batches | 
TRAIN: | epoch   0 |   416/ 7183 batches | 
TRAIN: | epoch   0 |   417/ 7183 batches | 
TRAIN: | epoch   0 |   418/ 7183 batches | 
TRAIN: | epoch   0 |   419/ 7183 batches | 
TRAIN: | epoch   0 |   420/ 7183 batches | 
TRAIN: | epoch   0 |   421/ 7183 batches | 
TRAIN: | epoch   0 |   422/ 7183 batches | 
TRAIN: | epoch   0 |   423/ 7183 batches | 
TRAIN: | epoch   0 |   424/ 7183 batches | 
TRAIN: | epoch   0 |   425/ 7183 batches | 
TRAIN: | epoch   0 |   426/ 7183 batches | 
TRAIN: | epoch   0 |   427/ 7183 batches | 
TRAIN: | epoch   0 |   428/ 7183 batches | 
TRAIN: | epoch   0 |   429/ 7183 batches | 
TRAIN: | epoch   0 |   430/ 7183 batches | 
TRAIN: | epoch   0 |   431/ 7183 batches | 
TRAIN: | epoch   0 |   432/ 7183 batches | 
TRAIN: | epoch   0 |   433/ 7183 batches | 
TRAIN: | epoch   0 |   434/ 7183 batches | 
TRAIN: | epoch   0 |   435/ 7183 batches | 
TRAIN: | epoch   0 |   436/ 7183 batches | 
TRAIN: | epoch   0 |   437/ 7183 batches | 
TRAIN: | epoch   0 |   438/ 7183 batches | 
TRAIN: | epoch   0 |   439/ 7183 batches | 
TRAIN: | epoch   0 |   440/ 7183 batches | 
TRAIN: | epoch   0 |   441/ 7183 batches | 
TRAIN: | epoch   0 |   442/ 7183 batches | 
TRAIN: | epoch   0 |   443/ 7183 batches | 
TRAIN: | epoch   0 |   444/ 7183 batches | 
TRAIN: | epoch   0 |   445/ 7183 batches | 
TRAIN: | epoch   0 |   446/ 7183 batches | 
TRAIN: | epoch   0 |   447/ 7183 batches | 
TRAIN: | epoch   0 |   448/ 7183 batches | 
TRAIN: | epoch   0 |   449/ 7183 batches | 
TRAIN: | epoch   0 |   450/ 7183 batches | 
TRAIN: | epoch   0 |   451/ 7183 batches | 
TRAIN: | epoch   0 |   452/ 7183 batches | 
TRAIN: | epoch   0 |   453/ 7183 batches | 
TRAIN: | epoch   0 |   454/ 7183 batches | 
TRAIN: | epoch   0 |   455/ 7183 batches | 
TRAIN: | epoch   0 |   456/ 7183 batches | 
TRAIN: | epoch   0 |   457/ 7183 batches | 
TRAIN: | epoch   0 |   458/ 7183 batches | 
TRAIN: | epoch   0 |   459/ 7183 batches | 
TRAIN: | epoch   0 |   460/ 7183 batches | 
TRAIN: | epoch   0 |   461/ 7183 batches | 
TRAIN: | epoch   0 |   462/ 7183 batches | 
TRAIN: | epoch   0 |   463/ 7183 batches | 
TRAIN: | epoch   0 |   464/ 7183 batches | 
TRAIN: | epoch   0 |   465/ 7183 batches | 
TRAIN: | epoch   0 |   466/ 7183 batches | 
TRAIN: | epoch   0 |   467/ 7183 batches | 
TRAIN: | epoch   0 |   468/ 7183 batches | 
TRAIN: | epoch   0 |   469/ 7183 batches | 
TRAIN: | epoch   0 |   470/ 7183 batches | 
TRAIN: | epoch   0 |   471/ 7183 batches | 
TRAIN: | epoch   0 |   472/ 7183 batches | 
TRAIN: | epoch   0 |   473/ 7183 batches | 
TRAIN: | epoch   0 |   474/ 7183 batches | 
TRAIN: | epoch   0 |   475/ 7183 batches | 
TRAIN: | epoch   0 |   476/ 7183 batches | 
TRAIN: | epoch   0 |   477/ 7183 batches | 
TRAIN: | epoch   0 |   478/ 7183 batches | 
TRAIN: | epoch   0 |   479/ 7183 batches | 
TRAIN: | epoch   0 |   480/ 7183 batches | 
TRAIN: | epoch   0 |   481/ 7183 batches | 
TRAIN: | epoch   0 |   482/ 7183 batches | 
TRAIN: | epoch   0 |   483/ 7183 batches | 
TRAIN: | epoch   0 |   484/ 7183 batches | 
TRAIN: | epoch   0 |   485/ 7183 batches | 
